username,tweet
OH_NO_1661,"RT @ChannelNewsAsia: WATCH: Hong Kong students hold up signages that read ""mourning Alex Chow"" in a rally after an university undergraduate…"
fktws,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
joetsuki,RT @HongKongFP: Hong Kong student’s death prompts fresh anger and protests https://t.co/czMez4UHHy #HongKong #China #antiELABhk #antiELAB #…
gcxday,RT @JOceanW: A group of students are now marching to the residence of the university president Wei Shyy to demand him to condemn police vio…
Beth102019,"RT @tictoc: @business ""The Communists, they dress up as Hong Kong cops and kill Hong Kong people.""

A masked protester steps out among othe…"
ansicowboy,"RT @Woppa1Woppa: #HKPolice say they didn't enter the parking lot BEFORE Chow fell off?  Yeah, they lied again.  Dash cam footage shows them…"
gcxday,"RT @lauinhk: Latest slogan: ""Hongkongers, revenge! "" The second word of the slogan used to be ""add oil"", which evolved into ""resist"". And n…"
9Tsuialex,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
yuanxiangtang,RT @HongKongFP: Cause of Hong Kong university student’s fall remains unclear as car park owner releases CCTV footage https://t.co/KyHSyVD6h…
funkykawing,"RT @Dystopia992: The moment when #HKPolice fired tear gas at #press, on a police vehicle before they leave.

Proof of #HKPoliceTerrorism —…"
TTTChan2,"To save HK, to save our kids, please DO NOT vote for Pro-Beijing/ Pro-CCP team on Nov 24. Stop killing our generati… https://t.co/me3pceIsNl"
wedday951,"RT @CH_HONGKONG: #hongkongpolice basically aren’t professional anymore, just doing everything based on their emotion. no police will be hel…"
123886,"RT @tictoc: Up to 88% of Hong Kong’s 7.4 million have been exposed to tear gas.

More via @bw: https://t.co/P3UnPqjYHy #HongKongProtests #香…"
pinkywtn,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
fantastic_wrong,RT @cuhkcampusradio: Today is the graduation ceremony of CUHK. A mainland student held a knife towards the graduates of CUHK and sang the C…
Jessica49976877,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
y_n_y1,"RT @Davis4Hk: The podcast of “#HongKongProtests Hit #UCD” by @D_Enterprise is now available!

We hope to bring awareness to the HK situatio…"
SunsiareHK,"RT @ivy0118: Red media is asking for cancellations of elections.
#HongKongProtests https://t.co/ClHdYZcile"
eddiech03112242,RT @frances_sit: Police arrived at the scene to urge ppl to leave &amp; warning them they could be charged for participating in an illegal asse…
kynuspro,RT @liamstone_19: #HongKong students/protesters waving USA flags at their graduation ceremony. #HongKongProtests https://t.co/wzNfWzMpNx
JohnCha85102303,"RT @ajmm19923493: Today #HongKongers are walking to work on foot, an action to boycott MTR. They’re chanting Liberate #HongKong, Revolution…"
tonyshadow1,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
Beth102019,"RT @tictoc: @business 🇭🇰 ""No matter how they prosecute activists, we will continue our fight in such uphill battle.""  

Hong Kong activist…"
eddiech03112242,RT @Woppa1Woppa: #HKUST.  Students continue supporting Chow and some parents joined the chants and gave them applause.  At the end they lef…
JackDuckworth18,"RT @JessiePang0125: Many chant “Hong Konger, revenge.” #antielab #HongKongProtests https://t.co/NhSug0utn7"
vincent_wong666,RT @frances_sit: Police arrived at the scene to urge ppl to leave &amp; warning them they could be charged for participating in an illegal asse…
phalanx2628,RT @JOceanW: A group of students are now marching to the residence of the university president Wei Shyy to demand him to condemn police vio…
caesarlee2006,RT @galileocheng: Angry citizens are chanting “Fxxk off cockroaches! Murderer!” In Chater Garden for flash mob rally and mourning for Alex…
HKisdyingSOS,RT @ajmm19923493: I hope everyone can spend a moment listening to this HKUST student’s speech. He is a new immigrant to #HongKong. I’ve tra…
Leo03257671,"RT @Woppa1Woppa: QE Hospital.  #HKUST student association wish for the press give Chow's family personal space, and also investigate why #H…"
chahongkong,"RT @Davis4Hk: The podcast of “#HongKongProtests Hit #UCD” by @D_Enterprise is now available!

We hope to bring awareness to the HK situatio…"
ChanNoelle,RT @JOceanW: A group of students are now marching to the residence of the university president Wei Shyy to demand him to condemn police vio…
heung_v,RT @frances_sit: Police arrived at the scene to urge ppl to leave &amp; warning them they could be charged for participating in an illegal asse…
DSpeeth,RT @HongKongFP: Cause of Hong Kong university student’s fall remains unclear as car park owner releases CCTV footage https://t.co/KyHSyVD6h…
milostudio,"RT @ChannelNewsAsia: WATCH: Hong Kong students hold up signages that read ""mourning Alex Chow"" in a rally after an university undergraduate…"
dordordorara,RT @HongKongFP: Cause of Hong Kong university student’s fall remains unclear as car park owner releases CCTV footage https://t.co/KyHSyVD6h…
Iris_lllll,RT @ezracheungtoto: #LIVE: Police are firing tear gas into Victoria Park to disperse an election rally held by pro-democracy District Counc…
Ducky2019,"RT @ajmm19923493: Today #HongKongers are walking to work on foot, an action to boycott MTR. They’re chanting Liberate #HongKong, Revolution…"
Sumdordor,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
ZeroGravityGAF,RT @Woppa1Woppa: Scene at #HKUST.  The stage used for graduation ceremony has turned into a memorial site for Alex Chow.  While most at the…
Jessica49976877,"RT @ajmm19923493: Today #HongKongers are walking to work on foot, an action to boycott MTR. They’re chanting Liberate #HongKong, Revolution…"
Ducky2019,RT @Woppa1Woppa: Scene at #HKUST.  The stage used for graduation ceremony has turned into a memorial site for Alex Chow.  While most at the…
JackTsang1,"RT @ajmm19923493: Today #HongKongers are walking to work on foot, an action to boycott MTR. They’re chanting Liberate #HongKong, Revolution…"
donhk6988,"RT @yuen_cecil: #RestInPeace gathering for Chow Tsz-lok (周梓樂)
8pm, 8 Nov 2019 (Today)
#Lennon, Tsuen Wan, #HongKongProtests https://t.co/1g…"
ApppleCrumble,"RT @ajmm19923493: A flash mob march during lunch hour in Central. #HongKong working class is paying tribute to Chow Tsz-Lok, and demanding…"
innocitizen,RT @JOceanW: A group of students are now marching to the residence of the university president Wei Shyy to demand him to condemn police vio…
Iris_lllll,RT @HongKongFP: @SiuSinGallery Riot police have entered Victoria Park and are exchanging insults with pro-democracy District Council candid…
banal_8018,RT @Peggy_fung: How crazy is this photo showing the riot police just opened the door and shot directly at the journalist ignoring the fact…
Davis4Hk,"The podcast of “#HongKongProtests Hit #UCD” by @D_Enterprise is now available!

We hope to bring awareness to the H… https://t.co/kvItNfrT3E"
Iris_lllll,RT @YuxuanMichael: A prominent social worker surnamed Chan was tackled to the ground by riot police and is now being retained. Chan is ofte…
Ducky2019,"RT @Woppa1Woppa: Central.  News broke out about Chow's death, and many working class citizens came to Chater Garden during their lunch brea…"
IrisWon62720978,RT @Woppa1Woppa: Scene at #HKUST.  The stage used for graduation ceremony has turned into a memorial site for Alex Chow.  While most at the…
KC40980124,RT @_jasmineleung_: #NOW: Over hundreds of @CUHKofficial graduands today have taken the advantage of their congregation to express their #5…
Ducky2019,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
SharonN29051983,RT @HongKongFP: Cause of Hong Kong university student’s fall remains unclear as car park owner releases CCTV footage https://t.co/KyHSyVD6h…
ChieCheung,"Then we keep on sharing.
#StandWithHongKong 
#HongKongProtests https://t.co/fS0SMqMb5S"
wt4hk,RT @cuhkcampusradio: Today is the graduation ceremony of CUHK. A mainland student held a knife towards the graduates of CUHK and sang the C…
ChannelNewsAsia,"WATCH: Hong Kong students hold up signages that read ""mourning Alex Chow"" in a rally after an university undergradu… https://t.co/RQHVGjyTIG"
blizzardx420,RT @JOceanW: A group of students are now marching to the residence of the university president Wei Shyy to demand him to condemn police vio…
YMSham,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
uilleam_beag,RT @HongKongFP: Hong Kong student’s death prompts fresh anger and protests https://t.co/czMez4UHHy #HongKong #China #antiELABhk #antiELAB #…
FlyingF14014214,"RT @Woppa1Woppa: #HKPolice say they didn't enter the parking lot BEFORE Chow fell off?  Yeah, they lied again.  Dash cam footage shows them…"
DeOcalwa,"RT @hardmaru: Adversarial Attack on Demand

“Inspired by the protests, this cap blocks facial recognition when used. Plans are available fo…"
zakeklt,"RT @badiucao: A mainland student held a knife towards the graduates of CUHK and sang the Chinese National Anthem.

to b honest i think his…"
Jessica49976877,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
liuyun2018,"RT @tictoc: @business 🇭🇰 ""No matter how they prosecute activists, we will continue our fight in such uphill battle.""  

Hong Kong activist…"
WFDemocracy,"""To discredit #HongKongProtests
is not enough, you have to discredit the #journalists that show otherwise."" says @yammeiching #CoE_WFD"
micole65276632,"RT @Dystopia992: The moment when #HKPolice fired tear gas at #press, on a police vehicle before they leave.

Proof of #HKPoliceTerrorism —…"
SunsetApple,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
lyshongkonger,RT @JOceanW: A group of students are now marching to the residence of the university president Wei Shyy to demand him to condemn police vio…
pFhJsZSLmZ1Hcnn,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
Jimmywo96443655,RT @HongKongFP: A new cartoon from Chinese artist @Badiucao after a student died following a fall during a police operation on Sunday. Full…
WuGeneva,"RT @tictoc: @business ""Give us the truth.""

Masked protesters march in Hong Kong's Central business district to demand an investigation on…"
micole65276632,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
heunggong101,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
BruhLch,"RT @tictoc: Up to 88% of Hong Kong’s 7.4 million have been exposed to tear gas.

More via @bw: https://t.co/P3UnPqjYHy #HongKongProtests #香…"
DSpeeth,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
gcxday,RT @Woppa1Woppa: Scene at #HKUST.  The stage used for graduation ceremony has turned into a memorial site for Alex Chow.  While most at the…
AreoEL19,"RT @tictoc: 🇭🇰 ""Give us the truth.""

Masked protesters marched in Hong Kong's Central business district to demand an investigation on the p…"
WTChan7,"RT @HongKongFP: 16-year-old convicted for carrying laser pointer, hiking pole and modified umbrella at Hong Kong protest https://t.co/N7GFe…"
Hepingpeace,"RT @FreedomHKG: StudentChow injured under Suspicious Circumstances!
#HongKongProtests #RipChow #HKHumanRightsandDemocracyAct 
#StandWithHon…"
volleylover8,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
gcxday,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
DelindaTierney,RT @liamstone_19: #HongKong protesters vandalized a  Genki Sushi branch and robbed the money. #HongKongProtests https://t.co/CoNE4ck5sX
LilPudding_cyj,"RT @oneforhk: Tonight, at 8pm.
No matter where you are,
No matter what you are doing,
Please mourn the death of university student Chow Tsz…"
frank29650703,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
standproudhker,"RT @tictoc: Up to 88% of Hong Kong’s 7.4 million have been exposed to tear gas.

More via @bw: https://t.co/P3UnPqjYHy #HongKongProtests #香…"
phalanx2628,"RT @CH_HONGKONG: #hongkongpolice basically aren’t professional anymore, just doing everything based on their emotion. no police will be hel…"
Sam_Kooooooo,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
Tamei,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
greenrain2008,"RT @ajmm19923493: At #HKUST: students put up a sign that say “no congregation, only funeral”. This should be a happy day for these students…"
Iris_lllll,RT @HKWORLDCITY: Blizzard Loses Sponsor Over Hong Kong Actions #HongKongProtests #BoycottBlizard #FreeHongKong https://t.co/QszRYNsURG
Dreamy52852,"RT @tictoc: @business ""The Communists, they dress up as Hong Kong cops and kill Hong Kong people.""

A masked protester steps out among othe…"
hohohohongkong,RT @HongKongFP: Cause of Hong Kong university student’s fall remains unclear as car park owner releases CCTV footage https://t.co/KyHSyVD6h…
innocitizen,RT @HongKongFP: Cause of Hong Kong university student’s fall remains unclear as car park owner releases CCTV footage https://t.co/KyHSyVD6h…
BallMoch,RT @Peggy_fung: How crazy is this photo showing the riot police just opened the door and shot directly at the journalist ignoring the fact…
sufangfeng2019,"#HongKongProtests said #周梓樂 died of evading police’s tear shell, but the parking lot surveillance showed no tear ga… https://t.co/dk8k3zFuVW"
LamWah9,"RT @Woppa1Woppa: Central.  News broke out about Chow's death, and many working class citizens came to Chater Garden during their lunch brea…"
blizzardx420,RT @HongKongFP: Cause of Hong Kong university student’s fall remains unclear as car park owner releases CCTV footage https://t.co/KyHSyVD6h…
julianisnew,RT @Woppa1Woppa: #HKUST.  Students continue supporting Chow and some parents joined the chants and gave them applause.  At the end they lef…
OperaDude,"RT @tictoc: @business ""Give us the truth.""

Masked protesters march in Hong Kong's Central business district to demand an investigation on…"
HongkongerView,"RT @tictoc: @business ""Give us the truth.""

Masked protesters march in Hong Kong's Central business district to demand an investigation on…"
F4hk_chloe,"RT @LawMic1: @SolomonYue Everyone of #Hongkongers is in anguish.  Sorry if any of us may sound impolite, we just cant afford to lose anothe…"
Dariuswu,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
HongkongerView,"RT @tictoc: @business ""The Communists, they dress up as Hong Kong cops and kill Hong Kong people.""

A masked protester steps out among othe…"
yuanxiangtang,"RT @JessiePang0125: Many chant “Hong Konger, revenge.” #antielab #HongKongProtests https://t.co/NhSug0utn7"
pillowching,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
RKhk59871001,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
WFDemocracy,"""#media in #HongKongProtests are everything but silent."" says @yammeiching at #CoE_WFD https://t.co/JgDtsBWYky"
yuancooloo,"RT @ClaudiaMCMo: University student Chow Tsz Lok died after falling one floor at a Tseung Kwan O housing estate car park 5 days ago, amid a…"
vincent_wong666,RT @galileocheng: Stop police shooting in execution style #antiELAB #AntiMaskLaw #HongKongProtests https://t.co/CN8EKNmBMR
yaofugen,RT @Woppa1Woppa: Scene at #HKUST.  The stage used for graduation ceremony has turned into a memorial site for Alex Chow.  While most at the…
Jimmywo96443655,"RT @CH_HONGKONG: #hongkongpolice basically aren’t professional anymore, just doing everything based on their emotion. no police will be hel…"
fuuko_wanko,RT @liamstone_19: #HongKong protesters vandalized a  Genki Sushi branch and robbed the money. #HongKongProtests https://t.co/CoNE4ck5sX
ChowJazz,"RT @ClaudiaMCMo: The handbag tag reads vertically: #HongKong
And horizontally it reads: #AddOil     
Chinese calligraphy fun
Gift from Taiw…"
Dariuswu,RT @Peggy_fung: How crazy is this photo showing the riot police just opened the door and shot directly at the journalist ignoring the fact…
AlfredTo5,RT @frances_sit: Police arrived at the scene to urge ppl to leave &amp; warning them they could be charged for participating in an illegal asse…
wongalfy,"RT @CH_HONGKONG: #hongkongpolice basically aren’t professional anymore, just doing everything based on their emotion. no police will be hel…"
Jimmywo96443655,RT @Peggy_fung: How crazy is this photo showing the riot police just opened the door and shot directly at the journalist ignoring the fact…
hugaster,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
TT7126,"hongkong people killed by hongkong police
#HongKongPolice #HongKongProtests https://t.co/CXOxsINFJH"
caesarlee2006,"RT @poison22ivy: #PokemonForHK 
For those Pokemon fans, there’s an activity to create/draw your favourite Pokemon to support HK. 

#HongKon…"
ChowJazz,"RT @ClaudiaMCMo: University student Chow Tsz Lok died after falling one floor at a Tseung Kwan O housing estate car park 5 days ago, amid a…"
lkk205_1,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
yskf11,"RT @CH_HONGKONG: #hongkongpolice basically aren’t professional anymore, just doing everything based on their emotion. no police will be hel…"
vincent_wong666,"RT @galileocheng: The march has unprecedented anger towards police of everyone chanting “Police, repay the bloody debt w blood” #antiELAB #…"
T_Dididada,"RT @FreedomEugeneUS: In response to delayed police action, Sec. of Security John Lee said the 24000 calls on 7/21 YuenLong attack were from…"
fannysylvia_,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
G20FalunGong,"RT @tictoc: @business ""Give us the truth.""

Masked protesters march in Hong Kong's Central business district to demand an investigation on…"
G20FalunGong,"RT @tictoc: 🇭🇰 ""Give us the truth.""

Masked protesters marched in Hong Kong's Central business district to demand an investigation on the p…"
tami_doku,RT @HongKongFP: A new cartoon from Chinese artist @Badiucao after a student died following a fall during a police operation on Sunday. Full…
victor72468843,"RT @Woppa1Woppa: QE Hospital.  #HKUST student association wish for the press give Chow's family personal space, and also investigate why #H…"
iamanya5,"RT @ivy0118: Red media is asking for cancellations of elections.
#HongKongProtests https://t.co/ClHdYZcile"
Charlot86178000,"RT @lauinhk: Latest slogan: ""Hongkongers, revenge! "" The second word of the slogan used to be ""add oil"", which evolved into ""resist"". And n…"
freeHongKong15,RT @frances_sit: Hundreds of #HongKong people have participated in flash-mob marches/rallies in diff districts to mourn the death of the US…
hkdemonow,"RT @tictoc: @business 🇭🇰 ""No matter how they prosecute activists, we will continue our fight in such uphill battle.""  

Hong Kong activist…"
leung_aa,RT @charofzeon: A young boy fell from height as #HKPoliceTerrorist fired tear gas at him. Police blocked the ambulance for more than 25mins…
yuanxiangtang,"RT @Woppa1Woppa: Central.  News broke out about Chow's death, and many working class citizens came to Chater Garden during their lunch brea…"
iamahesd2,"RT @ajmm19923493: A flash mob march during lunch hour in Central. #HongKong working class is paying tribute to Chow Tsz-Lok, and demanding…"
lijie73015473,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
jennifer166188,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
phalanx2628,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
singsin98700616,"RT @Woppa1Woppa: Central.  News broke out about Chow's death, and many working class citizens came to Chater Garden during their lunch brea…"
qeXhopV61rWGQ4r,"RT @ROOT_HongKong: On Tue–2019.11.05 (Guy Fawkes Night), thousands of #HongKongers wearing #VforVendetta masks marched into The Urban Counc…"
glorytohkforev1,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
hkdemonow,"RT @tictoc: @business ""The Communists, they dress up as Hong Kong cops and kill Hong Kong people.""

A masked protester steps out among othe…"
yuanxiangtang,"RT @ajmm19923493: Today #HongKongers are walking to work on foot, an action to boycott MTR. They’re chanting Liberate #HongKong, Revolution…"
hkdemonow,"RT @tictoc: @business ""Give us the truth.""

Masked protesters march in Hong Kong's Central business district to demand an investigation on…"
Youisare,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
PPPonGo,"RT @wu____rzburg: @MarshaBlackburn @realDonaldTrump Thank you Senator Marsha speaking up for Hong Kong. 
We sincerely hope #HongKongHumanRi…"
WTChan7,RT @HongKongFP: Cause of Hong Kong university student’s fall remains unclear as car park owner releases CCTV footage https://t.co/KyHSyVD6h…
Jorge79367891,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
dreadlord1968,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
dreadlord1968,"RT @CH_HONGKONG: #hongkongpolice basically aren’t professional anymore, just doing everything based on their emotion. no police will be hel…"
yaucfu,"RT @Woppa1Woppa: #HKPolice say they didn't enter the parking lot BEFORE Chow fell off?  Yeah, they lied again.  Dash cam footage shows them…"
singsin98700616,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
CCLau00638425,"RT @ClaudiaMCMo: The handbag tag reads vertically: #HongKong
And horizontally it reads: #AddOil     
Chinese calligraphy fun
Gift from Taiw…"
LamWah9,RT @JOceanW: A group of students are now marching to the residence of the university president Wei Shyy to demand him to condemn police vio…
lkk205_1,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
singsin98700616,"RT @Woppa1Woppa: QE Hospital.  #HKUST student association wish for the press give Chow's family personal space, and also investigate why #H…"
blizzardx420,RT @Woppa1Woppa: Scene at #HKUST.  The stage used for graduation ceremony has turned into a memorial site for Alex Chow.  While most at the…
CCLau00638425,"RT @ClaudiaMCMo: University student Chow Tsz Lok died after falling one floor at a Tseung Kwan O housing estate car park 5 days ago, amid a…"
momimima,"RT @Woppa1Woppa: #HKPolice say they didn't enter the parking lot BEFORE Chow fell off?  Yeah, they lied again.  Dash cam footage shows them…"
yuancooloo,"RT @Woppa1Woppa: #HKPolice say they didn't enter the parking lot BEFORE Chow fell off?  Yeah, they lied again.  Dash cam footage shows them…"
long_smart,"RT @ajmm19923493: A flash mob march during lunch hour in Central. #HongKong working class is paying tribute to Chow Tsz-Lok, and demanding…"
Candies_mush,RT @HongKongFP: Cause of Hong Kong university student’s fall remains unclear as car park owner releases CCTV footage https://t.co/KyHSyVD6h…
nekogk,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
yuancooloo,RT @_jasmineleung_: #NOW: Over hundreds of @CUHKofficial graduands today have taken the advantage of their congregation to express their #5…
LiuQiongyi,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
Charlies0s,RT @Peggy_fung: How crazy is this photo showing the riot police just opened the door and shot directly at the journalist ignoring the fact…
LamWah9,RT @Woppa1Woppa: Scene at #HKUST.  The stage used for graduation ceremony has turned into a memorial site for Alex Chow.  While most at the…
mmmmmm_mino,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
ReneeRose723,"RT @Fight4HongKong: 周同學悼念活動
Chow Tsz-lok Memorial Service

There will be a memorial service for Chow Tsz-lok tonight:
When: Nov 8th (Fri) 2…"
Alfred06469778,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
yuancooloo,RT @ajmm19923493: #CUHK students stood with their back facing the stage when #China national anthem was played at their graduation ceremony…
yaucfu,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
fiddly1028,"RT @Woppa1Woppa: #HKPolice say they didn't enter the parking lot BEFORE Chow fell off?  Yeah, they lied again.  Dash cam footage shows them…"
DarrenChaiple,"RT @FreedomHKG: StudentChow injured under Suspicious Circumstances!
#HongKongProtests #RipChow #HKHumanRightsandDemocracyAct 
#StandWithHon…"
100fun3,"RT @ClaudiaMCMo: University student Chow Tsz Lok died after falling one floor at a Tseung Kwan O housing estate car park 5 days ago, amid a…"
wongalfy,RT @Woppa1Woppa: Scene at #HKUST.  The stage used for graduation ceremony has turned into a memorial site for Alex Chow.  While most at the…
Esmusssein19,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
glorytoHK3,"RT @FreedomEugeneUS: In response to delayed police action, Sec. of Security John Lee said the 24000 calls on 7/21 YuenLong attack were from…"
Shooky_R,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
tami_doku,"RT @Woppa1Woppa: QE Hospital.  #HKUST student association wish for the press give Chow's family personal space, and also investigate why #H…"
yuancooloo,"RT @ajmm19923493: #HKUST principal Wei Shyy led students &amp; staff to stand in silent tribute to Chow Tsz-lok, who passed away this morning.…"
1018Zoe,"RT @FreedomHKG: StudentChow injured under Suspicious Circumstances!
#HongKongProtests #RipChow #HKHumanRightsandDemocracyAct 
#StandWithHon…"
problem_brian,RT @Peggy_fung: How crazy is this photo showing the riot police just opened the door and shot directly at the journalist ignoring the fact…
Pandora00579473,"RT @galileocheng: The march has unprecedented anger towards police of everyone chanting “Police, repay the bloody debt w blood” #antiELAB #…"
Pandora00579473,"RT @Woppa1Woppa: QE Hospital.  #HKUST student association wish for the press give Chow's family personal space, and also investigate why #H…"
Dariuswu,RT @hkgetv: Our Journalist found Hydrogen Cyanide gas detector sound its siren after the tear gas fired by HKPF &amp; the photo show that the r…
ChasingLightlin,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
nostakeinhk,"RT @Woppa1Woppa: #HKPolice say they didn't enter the parking lot BEFORE Chow fell off?  Yeah, they lied again.  Dash cam footage shows them…"
LamWah9,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
leung_aa,"RT @ray_slowbeat: Viral video: it looks like Sheung Tak parking garage in #TseungKwanO where a college student, 22yo man surnamed Chow, fel…"
SalineHon,RT @Peggy_fung: How crazy is this photo showing the riot police just opened the door and shot directly at the journalist ignoring the fact…
lDwlnwhMAdyxNFl,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
13991713002,"RT @steve_hanke: As the #HongKongProtests continue, police continue to use brutal tactics to subdue protesters. #China’s #communist hand ha…"
B612_Pat,"RT @ivy0118: Red media is asking for cancellations of elections.
#HongKongProtests https://t.co/ClHdYZcile"
yuancooloo,"RT @Woppa1Woppa: Central.  News broke out about Chow's death, and many working class citizens came to Chater Garden during their lunch brea…"
LamWah9,"RT @ajmm19923493: A flash mob march during lunch hour in Central. #HongKong working class is paying tribute to Chow Tsz-Lok, and demanding…"
TRY1E2dlY7yAA3p,"RT @hardmaru: Adversarial Attack on Demand

“Inspired by the protests, this cap blocks facial recognition when used. Plans are available fo…"
LamWah9,"RT @Woppa1Woppa: QE Hospital.  #HKUST student association wish for the press give Chow's family personal space, and also investigate why #H…"
blizzardx420,"RT @ajmm19923493: Today #HongKongers are walking to work on foot, an action to boycott MTR. They’re chanting Liberate #HongKong, Revolution…"
HongkongerAmy,RT @Woppa1Woppa: Scene at #HKUST.  The stage used for graduation ceremony has turned into a memorial site for Alex Chow.  While most at the…
Eddietang10,RT @JOceanW: Some at UST just took out their anger by vandalising Starbucks there. #hongkongprotests https://t.co/vDAd8clQYZ
humansystem,RT @HongKongFP: Hong Kong student’s death prompts fresh anger and protests https://t.co/czMez4UHHy #HongKong #China #antiELABhk #antiELAB #…
nanaxanne,RT @JOceanW: A group of students are now marching to the residence of the university president Wei Shyy to demand him to condemn police vio…
dalj_k,RT @Woppa1Woppa: Scene at #HKUST.  The stage used for graduation ceremony has turned into a memorial site for Alex Chow.  While most at the…
nanaxanne,RT @HongKongFP: Hong Kong student’s death prompts fresh anger and protests https://t.co/czMez4UHHy #HongKong #China #antiELABhk #antiELAB #…
Eddietang10,"RT @galileocheng: The march has unprecedented anger towards police of everyone chanting “Police, repay the bloody debt w blood” #antiELAB #…"
shFpR2rZDCN8Fb8,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
nanaxanne,RT @runningpepe60: (YET TO BE CONFIRMED) Another footage showing what possibly happened to the young man before he is found with severe hea…
jackyyeung74,"RT @Dystopia992: The moment when #HKPolice fired tear gas at #press, on a police vehicle before they leave.

Proof of #HKPoliceTerrorism —…"
sandk91774527,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
